Model,CV_Acc_Mean,CV_Acc_SD,CV_F1_Mean,CV_F1_SD
Logistic Regression,0.6431818181818182,0.02804309699830243,0.7057964544578736,0.024273034113966464
Random Forest,0.7585227272727273,0.03382949010591862,0.7911799536582472,0.028478877328939348
XGBoost,0.7522727272727272,0.03344077038536854,0.7876295969585672,0.026198840327455484
