Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6090909090909091,0.5836298932384342,0.7488584474885844,0.656,0.640942994689973
Random Forest,0.7613636363636364,0.7175572519083969,0.8584474885844748,0.7817047817047817,0.853684993491601
XGBoost,0.7545454545454545,0.7142857142857143,0.8447488584474886,0.7740585774058577,0.8327444781916981
